Decompose Timer			169883025 171470146 171554789 171492904 172686426 170374300 
Deflation Timer			3901 3415 3898 3425 3410 3900 3413 3898 3509 3903 3430 3411 3900 3412 3902 3430 3971 3429 3413 3908 3412 3900 3409 3902 3429 3415 3898 3413 3899 3489 3901 3413 3414 3903 3417 3898 3547 3415 3411 3409 3417 3413 3429 3428 3430 3529 3415 3522 3413 3414 3416 3906 3467 3899 3416 3902 3436 3411 3904 3496 3991 3411 3902 3482 3592 3901 3572 3901 3433 3959 3411 3414 3897 3431 3907 3431 3900 3412 3429 3901 3434 3899 3636 3899 3498 3655 3904 3414 3907 3410 3903 3486 3902 3902 3411 3415 3443 3524 3426 3431 3526 3902 3412 3901 3428 3429 3901 3414 3896 3409 3903 3416 3415 3897 3432 3900 3412 3902 3564 3905 3904 3414 3902 3414 3900 3413 3900 3913 3408 3901 3524 3902 3419 3900 3427 3431 3900 3473 3909 3414 3942 3445 3430 4022 3450 3410 3414 3412 3412 3427 3423 3901 3429 3898 3907 3546 3898 3433 3905 3411 3905 3898 3414 3899 3414 3900 3409 3902 3413 3429 3898 3481 3897 3411 3899 3418 3412 3898 3447 3899 3525 3913 3414 3411 3959 3410 3920 3412 3901 3407 3428 3984 3414 3898 3407 3554 3502 3522 3456 3415 3444 3934 3440 3927 3926 3451 3928 3439 3923 3436 3924 3556 3443 3921 3462 3927 3433 3937 3436 3440 3986 3606 3928 3436 3926 3436 3929 3928 3454 3925 3438 3925 3518 3924 3437 3442 3923 3434 3923 3434 3923 3437 3616 3932 3640 3438 3434 3439 3435 3552 3476 3435 3439 3643 3583 3435 3930 3552 3932 3437 3593 3936 3439 3926 3435 3440 3464 3457 3547 3931 3443 3933 3461 3614 3439 3441 3443 3930 3439 3927 3458 3454 3929 3440 3932 3437 3932 3437 3444 3935 3440 3930 3546 3931 3440 3442 3441 3445 3551 3493 
Filter Dataset Timer			15846 67584 16006 61509 16227 62874 16772 64409 25776 106117 
Load Testing Dataset Timer			2169921 
Load Training Dataset Timer			3190583 
Output Dataset Timer			66472 
PCA Covariance			572005978 
PCA Covariance CV			315468283 320712772 357027859 451508807 455195084 
PCA Mean			309164 
PCA Mean CV			238089 240566 239179 273189 273447 
PCA Normalize CV			686502 686999 800517 918849 884454 
PCA Normalize Testing			412071 
PCA Normalize Testing CV			121154 106902 106786 106991 121292 
PCA Normalize Training			917149 
Power Iteration Iteration Counter			1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 
Power Iteration Timer			3541812 3287063 3684670 3244851 3585116 3380798 3449657 3523443 3306266 3658482 3243351 3607919 3356962 3465979 3498845 3331025 3638981 3244077 3630877 3338796 3485891 3479449 3355299 3618489 3246135 3646214 3322159 3505283 3456896 3367138 3600011 3248030 3664908 3298746 3527239 3441164 3241336 3243101 3241842 3244522 3245995 3242395 3243128 3244618 3243661 3241748 3251478 3249635 3245327 3242347 3581505 3386788 3448697 3524262 3301200 3661382 3243472 3602042 3362787 3460943 3505426 3321173 3641611 3243118 3626001 3340484 3482310 3486771 3343977 3622090 3241709 3639548 3324244 3504469 3463699 3360684 3603614 3247193 3658311 3304209 3519000 3443445 3382214 3596855 3257055 3679485 3283494 3539580 3424643 3399174 3563040 3259806 3685413 3264970 3243713 3244081 3244391 3242938 3239178 3241233 3492896 3479405 3352231 3617714 3242321 3648190 3319221 3509172 3456979 3367908 3596616 3245275 3670067 3296018 3528692 3439201 3390558 3576344 3251203 3681716 3276331 3550263 3417566 3412933 3557141 3273340 3682007 3256330 3573151 3397596 3430920 3533879 3292024 3673811 3242934 3587501 3385153 3450272 3518427 3314025 3661531 3249921 3616177 3363211 3251000 3252144 3249901 3246271 3242910 3252015 3403475 3574052 3260089 3688314 3271251 3551713 3409179 3411895 3550810 3274231 3680929 3258836 3571643 3388670 3432387 3531088 3296920 3676142 3244862 3590559 3369194 3449585 3512982 3311943 3651843 3241985 3609978 3356111 3468906 3494848 3332502 3640037 3248447 3633768 3339790 3494829 3478996 3356545 3611521 3243993 3649531 3314110 3512211 3453823 3241232 3242263 3251807 3241248 3243028 3246281 3506324 3584015 3290900 3705990 3277323 3598512 3411712 3464621 3544958 3331683 3680615 3266771 3640594 3371261 3508113 3502794 3376697 3635956 3264147 3683743 3332061 3552462 3465956 3419426 3597820 3282445 3706043 3287994 3590719 3423806 3457217 3553700 3328744 3686079 3267208 3632774 3379958 3499240 3513528 3366859 3643519 3264303 3670977 3335413 3266949 3267122 3263407 3266239 3265688 3268122 3269987 3270950 3269554 3268933 3268025 3526684 3489013 3393402 3620045 3271722 3702435 3318934 3569185 3443437 3269382 3267764 3267578 3270250 3584327 3436108 3448819 3566590 3268653 3268564 3272036 3273788 3494874 3548836 3333225 3680717 3272369 3642602 3373420 3511233 3504803 3378265 3638473 3269839 3686405 3329611 3559416 3460649 3425088 3590628 3269912 3266490 3269120 3270193 3270445 3270647 
kNN Hit			0 
kNN Hit CV			8095 8095 8062 8087 8086 
kNN Miss			0 
kNN Miss CV			305 305 338 313 314 
kNN Partition Timer			639367912 645200962 680221921 776409124 778488094 
kNN Partition Timer CV			142403274 142912942 141556914 141911064 142838991 
kNN Testing Timer			577131019 
